trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
619,False,"{'a': 0.75, 'e': 0.025793465860430936}",25,12,24.404493253867585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.75, 'e': 0.02329421962615999}",25,17,15.46570841935861,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.75, 'e': 0.020794827803092428}",30,0,37.76086797566381,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
622,False,"{'a': 0.75, 'e': 0.01829530601241879}",25,18,13.41981926497876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.75, 'e': 0.01579566987614213}",30,11,31.71155887112036,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.75, 'e': 0.013295935016979937}",30,16,24.963992386603145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.75, 'e': 0.010796117058267392}",20,14,14.664216580917477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.75, 'e': 0.008296231623858378}",30,9,37.33293812088393,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,18,14.053398415628948,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,28.506014551219938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,13,23.151454306822096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,17,30.109445377252275,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,21,30.44169481961145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,15,16.167422088205463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,18,35.257519298363185,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,15,17.737064224231435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,20.61815998196472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,21.80532466948602,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,18,25.547586352393758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,10,24.19052440190934,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,2,28.778360013456446,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,10,34.52766732289043,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,3,29.875381414998046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",30,2,46.71109698864393,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,14,19.86343883198117,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,11,26.073915826861754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,11,28.4248937306187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,5,35.29757509171847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
